Number of lines read from the beginning of the file,Execution time without tests,Execution time with unit tests assertions in place
100,0.0005499890000000007 seconds,0.0005149040000000105 seconds
1000,0.005247777000000009 seconds,0.0058567169999999835 seconds
2000,0.011465427 seconds,0.010510780999999997 seconds
3000,0.017057993999999993 seconds,0.017245707 seconds
4000,0.02261574300000002 seconds,0.021991077999999997 seconds
5000,0.02709169899999997 seconds,0.028951300000000013 seconds
6000,0.036724806 seconds,0.03693081299999995 seconds
7000,0.047610657 seconds,0.050937103999999955 seconds
8000,0.05356081300000004 seconds,0.053587396999999926 seconds
9000,0.053679566999999984 seconds,0.07329336499999994 seconds
10000,0.06559962799999997 seconds,0.05758817500000002 seconds
