Number of lines read from the beginning of the file,Execution time without tests,Execution time with unit tests assertions in place
100,0.003199105000000091 seconds,0.0031178720000000215 seconds
1000,0.034069110999999985 seconds,0.036691118999999994 seconds
2000,0.07354282600000006 seconds,0.06906369899999998 seconds
3000,0.12451230099999999 seconds,0.094976591 seconds
4000,0.11667591599999994 seconds,0.11454468699999998 seconds
5000,0.142421825 seconds,0.1429432220000002 seconds
6000,0.210845862 seconds,0.18099225699999977 seconds
7000,0.20137136499999997 seconds,0.19991695700000012 seconds
8000,0.22779881599999996 seconds,0.22651218900000014 seconds
9000,0.25404355300000026 seconds,0.2894596970000003 seconds
10000,0.28132635100000014 seconds,0.28463074799999966 seconds
