# of Records,Encode Function with testing (s),Encode function without testing (s),Decode function with testing (s),Decode function without testing (s)
100,0.003117872,0.003199105,0.000363681,0.00038395
1000,0.036691119,0.034069111,0.003840856,0.003622885
2000,0.069063699,0.073542826,0.008283804,0.007247563
3000,0.094976591,0.124512301,0.011645519,0.011214259
4000,0.114544687,0.116675916,0.015252693,0.016367234
5000,0.142943222,0.142421825,0.018915906,0.019316366
6000,0.180992257,0.210845862,0.023985227,0.023297712
7000,0.199916957,0.201371365,0.039448003,0.03830786
8000,0.226512189,0.227798816,0.045397752,0.069106343
9000,0.289459697,0.254043553,0.038003823,0.041739307
10000,0.284630748,0.281326351,0.039706756,0.041544171
